IssueKey,NaturalKey,ModifiedByPersonKey,CreatedDate,OccurredDate,IdentifiedDate,ResolutionDate,CreatedDateKey,Title,Type,CurrentStatus,IsExternalIssue,ImpactsCustomer,OwnerCount,DaysToIdentify,DaysToResolve,IssueAgeDays,IsOpen,IsOrphaned,AgeBucket
1,008fd293-5f1c-43b5-9021-66e06cc30d14,1,2025-01-14,2024-11-17,2024-10-03,2025-08-19,20250114,EV-852571 - Redefine B2B Partnerships,issue,on_hold,,true,3,0,320,454,true,false,Critical (>30 Days)
2,00a37a83-cdfc-44c8-bbfa-9c5e69e69fb4,584,2024-03-15,2024-07-17,2024-12-23,2025-02-19,20240315,EV-748639 - Syndicate Customized Relationships,risk_event,closed,true,false,2,159,58,373,false,false,Closed
3,09d5efd5-2a02-457b-9f7a-4ba29f53073a,658,2025-12-02,2024-04-20,2024-01-08,2025-09-21,20251202,EV-836995 - Brand Proactive Initiatives,incident,raised,true,false,1,0,622,723,true,false,Critical (>30 Days)
4,09e28b10-a3c8-4ce5-b602-139b450d825c,984,2024-06-02,2024-02-01,2024-02-28,2025-02-14,20240602,EV-366632 - Unleash Compelling E-Services,incident,in_review,true,,2,27,352,672,true,false,Critical (>30 Days)
5,0ba610a0-1579-4253-be69-c63d11c7126d,191,2025-01-05,2025-07-25,2024-04-21,2025-07-30,20250105,EV-592775 - Engineer Robust E-Services,incident,closed,false,false,3,0,465,619,false,false,Closed
6,0e5165b0-b8b7-46a6-a3e7-268bf2b99701,398,2024-01-30,2025-06-26,2025-12-21,2025-09-23,20240130,EV-982307 - E-Enable Plug-And-Play Functionalities,incident,on_hold,false,true,3,178,0,10,true,false,Stale (8-30 Days)
7,11343545-d8a1-42f3-9985-4360df5d0e42,898,2024-10-11,2024-06-04,2024-03-22,2025-01-25,20241011,EV-971439 - Incubate Cutting-Edge E-Tailers,issue,in_review,,true,2,0,309,649,true,false,Critical (>30 Days)
8,16f3293b-0cd9-4077-b047-52acb65bd50b,231,2024-11-05,2024-05-10,2025-09-13,2025-02-15,20241105,EV-446222 - Engage Best-Of-Breed Action-Items,incident,open,,,1,491,0,109,true,false,Critical (>30 Days)
9,176d3013-7936-4a68-bd6b-def9b44d3b78,1124,2025-11-10,2025-10-26,2024-10-09,2025-09-05,20251110,EV-210061 - Evolve One-To-One Web Services,risk_event,closed,,,1,0,331,448,false,false,Closed
10,18fce605-4e11-4c28-b8a6-3f944d9c566f,733,2024-04-26,2025-12-23,2024-05-23,2025-12-31,20240426,EV-291839 - Disintermediate Out-Of-The-Box Solutions,issue,open,false,true,2,0,587,587,true,false,Critical (>30 Days)
11,194e2abc-f806-498f-bdb6-fe0928261794,353,2025-02-08,2024-06-20,2025-01-30,2025-04-26,20250208,EV-266962 - Mesh Efficient Technologies,issue,in_review,false,true,1,224,86,335,true,false,Critical (>30 Days)
12,1bb2b85d-2bd5-476d-a6e7-6e4b98aca839,647,2025-07-23,2025-07-27,2025-11-14,2025-01-31,20250723,EV-779830 - Transform One-To-One Initiatives,issue,raised,true,true,2,110,0,47,true,false,Critical (>30 Days)
13,1c609b93-edbd-43f9-a9d5-758b708e269c,349,2025-04-15,2024-09-02,2025-09-30,2025-05-09,20250415,EV-310333 - Deploy Sticky Technologies,incident,raised,,,1,393,0,92,true,false,Critical (>30 Days)
14,1e231d2e-2cbb-4157-adb6-8488f8d0f250,272,2024-04-30,2024-11-21,2025-11-26,2025-08-07,20240430,EV-497135 - Generate Back-End Networks,issue,on_hold,true,false,3,370,0,35,true,false,Critical (>30 Days)
15,1f08cb1a-c3c0-4380-9c99-5918dafbaf02,438,2025-01-23,2024-09-22,2024-11-03,2025-03-18,20250123,EV-379600 - Synthesize Cutting-Edge Content,incident,raised,false,,3,42,135,423,true,false,Critical (>30 Days)
16,21b25fae-780b-46d1-9556-7a4b53385e87,156,2025-07-08,2025-04-19,2024-09-28,2025-09-24,20250708,EV-509925 - Unleash Clicks-And-Mortar Methodologies,issue,raised,,false,2,0,361,459,true,false,Critical (>30 Days)
17,2388a55f-e887-4d8d-a8f1-a5cefcd37b96,149,2024-03-13,2024-12-01,2025-12-05,2025-11-29,20240313,EV-584830 - Grow Cross-Media Web-Readiness,incident,in_review,,,2,369,0,26,true,false,Stale (8-30 Days)
18,2413624c-5971-4f99-99e9-717c457b909d,748,2025-11-06,2024-09-21,2024-03-31,2025-07-30,20251106,EV-645223 - Streamline Scalable Technologies,issue,raised,,,3,0,486,640,true,false,Critical (>30 Days)
19,258756cb-7ba0-4546-8479-e557cdcf1eab,904,2024-08-28,2025-06-06,2024-04-17,2025-12-26,20240828,EV-232939 - Engineer Bricks-And-Clicks Action-Items,incident,on_hold,true,,2,0,618,623,true,false,Critical (>30 Days)
20,29d91c82-8187-40fb-8b15-c4452ec0fbfc,351,2024-07-04,2024-08-26,2024-11-24,2025-09-05,20240704,EV-671037 - Cultivate Innovative Eyeballs,issue,raised,true,true,2,90,285,402,true,false,Critical (>30 Days)
21,2a43773b-c8e1-49c3-9d17-24c44ba3c305,81,2024-07-01,2025-09-23,2025-05-31,2025-07-18,20240701,EV-897539 - Innovate Out-Of-The-Box Platforms,incident,raised,false,true,2,0,48,214,true,false,Critical (>30 Days)
