IssueKey,PersonKey,RoleType
1,675,Contributor
1,84,Contributor
1,356,Contributor
1,253,Owner
1,545,Owner
1,102,Owner
2,841,Owner
2,827,Owner
3,397,Contributor
3,382,Contributor
3,523,Contributor
3,845,Contributor
3,53,Contributor
3,77,Owner
4,733,Owner
4,654,Owner
5,372,Contributor
5,805,Contributor
5,652,Owner
5,484,Owner
5,609,Owner
6,187,Contributor
6,697,Contributor
6,161,Contributor
6,419,Contributor
6,221,Contributor
6,753,Owner
6,95,Owner
6,82,Owner
7,443,Contributor
7,435,Contributor
7,498,Contributor
7,186,Contributor
7,611,Owner
7,231,Owner
8,464,Contributor
8,271,Owner
9,172,Contributor
9,575,Contributor
9,374,Contributor
9,680,Owner
10,709,Contributor
10,277,Contributor
10,803,Contributor
10,316,Owner
10,57,Owner
11,232,Contributor
11,425,Owner
12,522,Contributor
12,184,Owner
12,729,Owner
13,3,Contributor
13,215,Contributor
13,770,Contributor
13,128,Contributor
13,533,Owner
14,323,Contributor
14,736,Contributor
14,123,Contributor
14,588,Owner
14,756,Owner
14,834,Owner
15,727,Contributor
15,825,Contributor
15,708,Owner
15,191,Owner
15,39,Owner
16,811,Contributor
16,404,Contributor
16,514,Contributor
16,50,Owner
16,497,Owner
17,171,Contributor
17,474,Owner
17,369,Owner
18,722,Contributor
18,327,Contributor
18,780,Owner
18,453,Owner
18,293,Owner
19,478,Owner
19,809,Owner
20,282,Contributor
20,350,Contributor
20,351,Contributor
20,71,Contributor
20,387,Contributor
20,35,Owner
20,336,Owner
21,835,Contributor
21,603,Contributor
21,749,Owner
21,96,Owner
22,392,Contributor
22,759,Contributor
22,59,Contributor
22,555,Contributor
22,556,Contributor
22,564,Owner
22,366,Owner
23,65,Owner
23,78,Owner
23,532,Owner
24,245,Contributor
24,381,Contributor
24,97,Contributor
24,21,Contributor
24,308,Contributor
24,213,Owner
24,18,Owner
25,761,Owner
25,454,Owner
26,566,Contributor
26,124,Contributor
26,375,Owner
26,741,Owner
27,784,Owner
27,525,Owner
28,814,Contributor
28,511,Contributor
28,467,Contributor
28,331,Contributor
28,287,Contributor
28,52,Owner
29,345,Contributor
29,158,Contributor
29,418,Contributor
29,12,Contributor
29,488,Contributor
29,41,Owner
29,572,Owner
29,199,Owner
30,688,Owner
30,286,Owner
30,380,Owner
31,839,Owner
32,617,Contributor
32,5,Contributor
32,165,Contributor
32,107,Owner
32,103,Owner
33,385,Contributor
33,579,Contributor
33,266,Contributor
33,428,Contributor
33,754,Owner
33,360,Owner
33,312,Owner
34,411,Contributor
34,721,Contributor
34,820,Contributor
34,689,Contributor
34,537,Contributor
34,143,Owner
34,262,Owner
34,127,Owner
35,785,Contributor
35,134,Owner
35,468,Owner
35,610,Owner
36,793,Owner
36,621,Owner
36,300,Owner
37,410,Owner
37,133,Owner
38,598,Owner
38,642,Owner
38,408,Owner
39,791,Owner
39,616,Owner
39,473,Owner
40,446,Contributor
40,512,Owner
40,577,Owner
40,117,Owner
41,23,Owner
41,100,Owner
42,241,Contributor
42,787,Contributor
42,806,Contributor
42,500,Owner
42,405,Owner
42,193,Owner
43,422,Contributor
43,207,Contributor
43,459,Contributor
43,200,Contributor
43,337,Contributor
43,768,Owner
43,156,Owner
44,795,Contributor
44,169,Contributor
44,445,Contributor
44,209,Contributor
44,565,Contributor
44,85,Owner
44,548,Owner
45,7,Contributor
45,251,Contributor
45,347,Contributor
45,340,Contributor
45,338,Owner
46,674,Contributor
46,502,Owner
46,704,Owner
47,112,Contributor
47,505,Contributor
47,742,Contributor
47,607,Contributor
47,252,Owner
48,79,Contributor
48,635,Contributor
48,185,Contributor
48,802,Contributor
48,29,Contributor
48,481,Owner
48,73,Owner
48,270,Owner
49,22,Contributor
49,629,Contributor
49,628,Owner
49,10,Owner
49,427,Owner
50,341,Owner
50,444,Owner
50,113,Owner
51,439,Contributor
51,587,Contributor
51,177,Owner
51,656,Owner
51,822,Owner
52,25,Contributor
52,662,Contributor
52,430,Contributor
52,412,Contributor
52,153,Contributor
52,649,Owner
53,195,Contributor
53,438,Contributor
53,644,Owner
53,204,Owner
54,665,Contributor
54,322,Contributor
54,504,Contributor
54,507,Contributor
54,70,Owner
54,746,Owner
55,214,Owner
56,205,Contributor
56,597,Contributor
56,589,Contributor
56,612,Contributor
56,567,Contributor
56,26,Owner
56,479,Owner
56,599,Owner
57,707,Contributor
57,703,Contributor
57,571,Contributor
57,491,Owner
57,596,Owner
58,197,Contributor
58,433,Contributor
58,619,Contributor
58,131,Contributor
58,237,Owner
58,51,Owner
58,120,Owner
59,91,Owner
59,705,Owner
59,517,Owner
60,624,Contributor
60,659,Contributor
60,155,Owner
60,496,Owner
61,37,Owner
61,188,Owner
62,524,Contributor
62,553,Owner
62,315,Owner
62,618,Owner
63,326,Contributor
63,632,Contributor
63,570,Contributor
63,278,Owner
63,762,Owner
