IssueKey,NaturalKey,CreatedDateKey,OccurredDateKey,IdentifiedDateKey,ModifiedByPersonKey,Title,Type,IsExternalIssue,ImpactsCustomer,IssueAgeDays
1,008fd293-5f1c-43b5-9021-66e06cc30d14,20250114,20241117,20241003,335,EV-852571 - Redefine B2B Partnerships,issue,,true,383
2,00a37a83-cdfc-44c8-bbfa-9c5e69e69fb4,20240315,20240717,20241223,268,EV-748639 - Syndicate Customized Relationships,risk_event,true,false,688
3,09d5efd5-2a02-457b-9f7a-4ba29f53073a,20251202,20240420,20240108,178,EV-836995 - Brand Proactive Initiatives,incident,true,false,61
4,09e28b10-a3c8-4ce5-b602-139b450d825c,20240602,20240201,20240228,815,EV-366632 - Unleash Compelling E-Services,incident,true,,609
5,0ba610a0-1579-4253-be69-c63d11c7126d,20250105,20250725,20240421,1,EV-592775 - Engineer Robust E-Services,incident,false,false,392
6,0e5165b0-b8b7-46a6-a3e7-268bf2b99701,20240130,20250626,20251221,259,EV-982307 - E-Enable Plug-And-Play Functionalities,incident,false,true,733
7,11343545-d8a1-42f3-9985-4360df5d0e42,20241011,20240604,20240322,605,EV-971439 - Incubate Cutting-Edge E-Tailers,issue,,true,478
8,16f3293b-0cd9-4077-b047-52acb65bd50b,20241105,20240510,20250913,291,EV-446222 - Engage Best-Of-Breed Action-Items,incident,,,453
9,176d3013-7936-4a68-bd6b-def9b44d3b78,20251110,20251026,20241009,541,EV-210061 - Evolve One-To-One Web Services,risk_event,,,83
10,18fce605-4e11-4c28-b8a6-3f944d9c566f,20240426,20251223,20240523,816,EV-291839 - Disintermediate Out-Of-The-Box Solutions,issue,false,true,646
11,194e2abc-f806-498f-bdb6-fe0928261794,20250208,20240620,20250130,281,EV-266962 - Mesh Efficient Technologies,issue,false,true,358
12,1bb2b85d-2bd5-476d-a6e7-6e4b98aca839,20250723,20250727,20251114,192,EV-779830 - Transform One-To-One Initiatives,issue,true,true,193
13,1c609b93-edbd-43f9-a9d5-758b708e269c,20250415,20240902,20250930,141,EV-310333 - Deploy Sticky Technologies,incident,,,292
14,1e231d2e-2cbb-4157-adb6-8488f8d0f250,20240430,20241121,20251126,317,EV-497135 - Generate Back-End Networks,issue,true,false,642
15,1f08cb1a-c3c0-4380-9c99-5918dafbaf02,20250123,20240922,20241103,585,EV-379600 - Synthesize Cutting-Edge Content,incident,false,,374
16,21b25fae-780b-46d1-9556-7a4b53385e87,20250708,20250419,20240928,782,EV-509925 - Unleash Clicks-And-Mortar Methodologies,issue,,false,208
17,2388a55f-e887-4d8d-a8f1-a5cefcd37b96,20240313,20241201,20251205,99,EV-584830 - Grow Cross-Media Web-Readiness,incident,,,690
18,2413624c-5971-4f99-99e9-717c457b909d,20251106,20240921,20240331,499,EV-645223 - Streamline Scalable Technologies,issue,,,87
19,258756cb-7ba0-4546-8479-e557cdcf1eab,20240828,20250606,20240417,379,EV-232939 - Engineer Bricks-And-Clicks Action-Items,incident,true,,522
20,29d91c82-8187-40fb-8b15-c4452ec0fbfc,20240704,20240826,20241124,400,EV-671037 - Cultivate Innovative Eyeballs,issue,true,true,577
21,2a43773b-c8e1-49c3-9d17-24c44ba3c305,20240701,20250923,20250531,167,EV-897539 - Innovate Out-Of-The-Box Platforms,incident,false,true,580
22,2de837b5-7184-42b2-9719-8129c6fc17c1,20250131,20250918,20240615,159,EV-449849 - E-Enable Sticky Info-Mediaries,incident,false,,366
23,2f9fd07f-1e88-4c30-998c-997967ab55ce,20241010,20250424,20250528,403,EV-432604 - Deliver Killer Systems,incident,true,false,479
24,2fdf0322-1b91-43f5-83cb-169d51bb5bbb,20250630,20250102,20241219,368,EV-339220 - Deploy Strategic Platforms,issue,,true,216
